you,ты
I,я
to,к
the,в
and,и
that,это
of,из
me,меня
in,в
this,этот
for,для
no,нет
have,имеют
my,мой
just,только
not,не
do,делать
be,быть
on,на
your,ваш
was,был
we,мы
with,с участием
but,но
all,все
well,хорошо
he,он
about,около
right,правильно
get,получить
here,Вот
out,вне
if,если
her,ее
she,она
can,мочь
up,вверх
want,хочу
now,сейчас же
go,идти
him,ему
there,Там
one,один
why,Зачем
see,увидеть
come,приходить
good,хорошо
they,Oни
really,действительно
when,когда
back,назад
from,от
were,мы
yes,да
his,его
or,или
who,кто
because,потому что
some,немного
then,тогда
say,сказать
an,ан
way,путь
us,нас
little,маленький
never,никогда
too,тоже
sure,конечно
more,Больше
over,над
our,наш
sorry,Извините
where,где
let,позволять
maybe,может быть
down,вниз
man,мужчина
very,очень
by,от
anything,что-нибудь
much,много
any,Любые
life,жизнь
even,даже
off,выключен
please,Пожалуйста
thank,благодарить
only,только
help,Помогите
two,два
talk,говорить
people,люди
God,Бог
still,по-прежнему
wait,Подождите
into,в
find,найти
again,очередной раз
thing,вещь
call,вызов
told,сказал
great,отличный
before,перед
better,лучше
ever,Когда-либо
night,ночь
than,чем
away,далеко
first,первый
believe,верить
fine,хорошо
home,Главная
after,после
last,последний
these,эти
put,положил
around,около
stop,Стоп
long,длинная
always,всегда
listen,Слушать
those,те
big,большой
lot,много
kind,вид
wrong,неправильно
through,через
new,новый
guess,Угадай
care,забота
bad,плохой
mom,Мама
remember,помнить
together,все вместе
dad,папа
leave,уехать
mother,мама
place,место
understand,Понимаю
actually,фактически
hear,слышать
baby,детка
nice,хороший
father,отец
else,еще
stay,оставаться
their,их
course,курс
might,мощь
mind,разум
every,каждый
enough,достаточно
try,пытаться
hell,ад
came,пришел
someone,кто то
own,своя
family,семья
whole,все
another,еще один
house,жилой дом
yourself,себя
idea,идея
ask,просить
best,Лучший
must,должен
old,старый
woman,женщина
hello,Здравствуйте
which,который
room,номер
money,Деньги
left,осталось
tonight,сегодня ночью
real,настоящий
son,сын
hope,надежда
name,имя
same,такой же
happy,счастливый
pretty,довольно
girl,девушка
sir,сэр
show,шоу
already,уже
may,может
next,Следующий
three,три
found,найденный
world,Мир
honey,мед
myself,себя
exactly,именно так
probably,наверное
hurt,причинить боль
both,и то и другое
while,в то время как
dead,мертвых
alone,один
since,поскольку
excuse,извинение
start,Начните
kill,убийство
hard,жесткий
today,сегодня
car,машина
ready,готовы
until,до тех пор
without,без
whatever,без разницы
deal,по рукам
took,взял
once,один раз
friend,друг
head,голова
stuff,вещи
most,самый
worry,беспокоиться
second,второй
part,часть
truth,правда
school,школа
face,лицо
forget,забыть
business,бизнес
each,каждый
cause,причина
soon,скоро
wife,жена
use,использовать
chance,шанс
run,бегать
move,шаг
